PCA1,PCA2
-2.3567426210327715,-1.8130283069412052
-2.357039955776263,-1.812917234108879
-2.35705597052494,-1.8128702703188468
-2.358250619634559,-1.8125547116138145
-2.358213287762082,-1.812519904801085
-2.3585106225055728,-1.8124088319687583
-2.3589607439257647,-1.8122629411082112
-2.3583365184625547,-1.8123618794494838
-2.357862659602797,-1.812426551264672
-2.3581357412302175,-1.8123210053912273
-2.358714395968523,-1.8121458235166068
-2.359266377760026,-1.8119767200477388
-2.359668000223574,-1.8118418814469663
-2.3597082678458055,-1.8117893907533185
-2.359646682857257,-1.811760110899471
-2.359429883600745,-1.8117662022892351
-2.3579835231928667,-1.8120524941244311
-2.3571264839669843,-1.8122044875902348
-2.3561675843697905,-1.8123796936643588
-2.3561569256866317,-1.812338808390611
-2.35519560601619,-1.8125145659668713
-2.3544937735402565,-1.8126311899023169
-2.3536634075036926,-1.8127771049071015
-2.353856462045141,-1.8126897961299666
-2.3525628883139635,-1.8129412699369418
-2.3518877365453643,-1.8130518136981144
-2.351823723965553,-1.813023087059658
-2.3513789583683624,-1.8130811289116915
-2.350931772697924,-1.8131397222658612
-2.350690720325341,-1.8131513406145068
-2.351499768995587,-1.8129236550622272
-2.3514115032997047,-1.8129004553826513
-2.3508891379652894,-1.8129761811708696
-2.3501848781406087,-1.8130933582664408
-2.3503027527755638,-1.8130231819786191
-2.3504473083603687,-1.8129469254612594
-2.350051049237837,-1.8129939133402626
-2.349169756653367,-1.8131514338202137
-2.3493894843841345,-1.8130580465820605
-2.349633472506471,-1.8129591307270372
-2.3485460395911635,-1.813163627815234
-2.3490228417186896,-1.813011656780414
-2.3487575359875192,-1.8130288021432075
-2.348567417438341,-1.8130288133586994
-2.3477346238105143,-1.8131752815788749
-2.3476463656326465,-1.8131520801860457
-2.3481765141388102,-1.8129879522291883
-2.3481391822663324,-1.8129531454164587
-2.348768763552544,-1.8127663580666722
-2.3487581048693853,-1.8127254727929243
-0.5962358960984128,-2.2870813694739827
-2.3485840008263676,-1.8126785202736502
-2.3498805103072984,-1.812339748960297
-2.349433317118845,-1.8123983440277212
-2.3482173581609227,-1.8126321304720032
-2.3475155256849893,-1.8127487544074485
-2.347325399617796,-1.8127487673361944
-2.347494208318672,-1.8126669838599527
-2.3473283353675494,-1.8126614698298174
-2.347138209300356,-1.812661482758563
-2.3467686308851574,-1.8127023904632937
-2.3462971993741464,-1.8127665091183571
-2.346875854354969,-1.8125913271884704
